,,1,2,3,4,5,,,,1,,,,1,2,3,4,5,6,7,8,9,10,11,,,,66,67,68,69,70
,Bupleurum rigidum L. subsp. paniculatum (Brot.) H. Wolff in Engl.,+,.,1,1,1,,,Scilla monophyllos Link,+,,,Phillyrea angustifolia L.,.,.,.,.,+,1,1,+,.,+,+,,,Corema album (L.) D. Don,.,.,.,.,.
,Melica minuta L. [sub],+,+,+,.,+,,,Anemone palmata L.,+,,,Lonicera implexa Aiton,+,1,+,.,.,+,.,+,.,.,.,,,Clematis cirrhosa L.,.,.,.,.,.
,Phillyrea angustifolia L.,2,.,+,+,.,,,Cistus salviifolius L.,3,,,Euphorbia characias L.,+,+,.,.,.,1,.,+,+,.,.,,,Phlomis purpurea L.,.,1,1,.,+
,Osyris alba L.,1,1,+,.,.,,,Helianthemum violaceum (Cav.) Pers.,1,,,Arisarum simorrhinum Durieu [sub],.,.,+,+,.,.,.,+,.,+,+,,,Asparagus albus L.,.,.,.,.,.
,Arbutus unedo L.,1,.,.,1,+,,,Rosmarinus officinalis L.,2,,,Rubia peregrina L. [sub],.,+,.,.,+,.,.,+,.,+,+,,,Aristolochia baetica L.,.,.,.,.,.
,Rubia peregrina L. [sub],+,+,+,.,.,,,Ulex airensis Espírito Santo & al.,2,,,Smilax aspera L.,.,+,.,.,1,.,.,+,.,.,+,,,Pistacia terebinthus L.,.,.,.,.,.
,Myrtus communis L.,1,.,.,.,.,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],1,,,Osyris alba L.,.,+,.,.,1,.,.,+,+,.,.,,,Coronilla juncea L.,.,.,.,.,.
,Thymus zygis Loefl. ex L. subsp. sylvestris (Hoffmanns. & Link) Cout.,+,+,+,1,+,,,Carex halleriana Asso [sub],1,,,Melica minuta L.,2,2,+,.,.,.,.,.,.,.,.,,,Biarum arundanum Boiss. & Reut.,.,.,+,.,.
,Cistus crispus L.,+,+,1,+,+,,,Calendula suffruticosa Vahl subsp. lusitanica (Boiss.) Ohle,1,,,Myrtus communis L.,.,+,+,.,.,1,.,.,.,.,.,,,Melica minuta L. [sub],2,1,.,+,.
,Sanguisorba verrucosa (Link ex G. Don) Ces.,+,+,+,+,+,,,Antirrhinum majus L. subsp. linkianum (Boiss. & Reut.) Rothm.,1,,,Anemone palmata L.,.,.,+,.,1,.,.,.,.,.,+,,,Bupleurum rigidum L. subsp. paniculatum (Brot.) H. Wolff in Engl. [sub],.,.,.,.,.
,Salvia sclareoides Brot.,+,+,+,+,+,,,Hyacinthoides hispanica (Mill.) Rothm.,1,,,Carex distachya Desf.,.,+,+,.,.,+,.,.,.,.,.,,,Euphorbia transtagana Boiss.,.,.,.,.,.
,Ulex airensis Espírito Santo & al.,2,.,1,2,1,,,Galium lucidum All. subsp. fruticescens (Cav.) O. Bolòs & Vigo [sub],+,,,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],.,.,.,.,.,1,.,.,.,.,+,,,Rhaponticoides fraylensis (Sch. Bip. ex Nyman) M.V. Agab. & Greuter [sub],.,.,.,.,.
,Teucrium capitatum L.,1,+,+,+,.,,,Polypodium cambricum L. subsp. cambricum [sub],+,,,Jasminum fruticans L.,.,1,.,.,.,.,.,.,.,.,.,,,Rhaponticoides africana (Lam.) M.V.Agab. & Greuter [sub],.,.,.,.,.
,Eryngium dilatatum Lam.,1,+,.,+,+,,,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman,+,,,Erica arborea L.,.,.,+,.,.,.,.,.,.,.,.,,,Centaurea crocata Franco,.,.,.,.,.
,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,.,1,+,+,+,,,Helleborus foetidus L.,+,,,Arbutus unedo L.,.,.,+,.,.,.,.,.,.,.,.,,,Serratula alcalae Coss.,.,.,.,.,.
,Brachypodium phoenicoides (L.) Roem. & Schult.,+,.,+,1,+,,,Urginea fugax (Moris) Steinh. [sub],+,,,Genista tournefortii Spach,.,.,+,.,.,.,.,.,.,.,.,,,Osyris quadripartita Salzm. ex Decne.,.,.,.,.,.
,Cistus salviifolius L.,+,+,+,+,.,,,Brachypodium phoenicoides (L.) Roem. & Schult.,+,,,Lonicera etrusca G. Santi,.,.,.,+,.,.,.,.,.,.,.,,,Antirrhinum majus L. subsp. cirrhigerum (Ficalho) Franco [sub],.,.,.,.,.
,Origanum vulgare L. subsp. virens (Hoffmanns. & Link) Ietsw.,+,.,+,+,+,,,Cephalanthera longifolia (L.) Fritsch,+,,,Rosmarinus officinalis L.,.,.,1,1,1,+,+,+,1,+,+,,,Rubia peregrina L. [sub],+,.,.,.,.
,Helichrysum stoechas (L.) Moench subsp. stoechas,+,.,+,+,+,,,Epipactis lusitanica Tyteca,+,,,Cistus salviifolius L. [sub],.,.,+,+,1,+,2,1,1,1,1,,,Daphne gnidium L.,1,+,.,+,.
,Erica scoparia L.,+,.,.,1,1,,,Thapsia villosa L.,+,,,Cistus albidus L.,+,1,.,+,+,1,.,1,+,1,1,,,Lonicera implexa Aiton,1,.,+,+,.
,Cistus monspeliensis L.,.,1,.,1,1,,,Silene gracilis DC. [sub],+,,,Urginea fugax (Moris) Steinh. [sub],+,+,+,+,+,1,.,+,.,+,+,,,Rhamnus alaternus L.,2,1,.,1,.
,Aristolochia paucinervis Pomel,+,+,.,.,+,,,Geranium purpureum Vill.,+,,,Thymus zygis Loefl. ex L. subsp. sylvestris (Hoffmanns. & Link) Cout.,+,+,1,1,+,1,1,.,+,.,.,,,Smilax aspera L.,+,.,.,.,.
,Carlina corymbosa L. subsp. hispanica (Lam.) O. Bolòs & Vigo,+,+,.,+,.,,,,,,,Carex halleriana Asso [sub],+,+,.,+,.,1,+,+,+,.,+,,,Asparagus aphyllus L.,+,+,+,.,.
,Tuberaria lignosa (Sweet) Samp. [sub],+,.,+,+,.,,,,,,,Ulex airensis Espírito Santo & al.,.,.,1,+,1,2,.,+,1,+,.,,,Arisarum simorrhinum Durieu [sub],.,.,.,.,.
,Centaurium erythraea Raf. subsp. erythraea,.,.,+,+,+,,,,,,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,+,+,1,.,.,1,+,1,+,,,Phillyrea angustifolia L.,.,.,.,.,.
,Ajuga iva (L.) Schreb.,+,+,.,.,.,,,,,,,Cistus crispus L.,.,.,+,.,+,1,.,.,+,1,+,,,Asparagus acutifolius L.,.,.,.,.,.
,Pinus pinaster Aiton,+,.,+,.,.,,,,,,,Cistus monspeliensis L.,.,1,.,.,.,2,+,1,.,1,.,,,Jasminum fruticans L.,1,.,.,.,.
,Erophaca baetica (L.) Boiss. subsp. baetica,.,+,+,.,.,,,,,,,Erica scoparia L.,.,.,2,.,1,1,2,.,.,+,.,,,Arbutus unedo L.,.,.,.,.,.
,Anagallis monelli L. [sub],+,.,.,.,+,,,,,,,Teucrium capitatum L.,.,.,1,1,.,.,+,.,+,.,1,,,Selaginella denticulata (L.) Spring,.,.,.,.,.
,Nothobartsia asperrima (Link) Benedí & Herrero [sub],.,.,+,+,.,,,,,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],.,.,+,.,+,.,.,1,+,+,.,,,Teucrium fruticans L.,.,.,.,.,.
,Urginea fugax (Moris) Steinh. [sub],.,.,.,+,+,,,,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],.,.,.,.,+,1,.,+,.,.,+,,,Anemone palmata L.,.,.,.,.,.
,Pinus pinea L.,.,.,.,2,.,,,,,,,Crataegus monogyna Jacq. [sub],1,1,.,.,.,.,.,1,.,.,.,,,Osyris alba L.,+,.,.,.,.
,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus,.,.,1,.,.,,,,,,,Eryngium dilatatum Lam.,+,.,.,.,.,1,.,.,.,.,+,,,Phillyrea latifolia L. [sub],.,.,.,.,.
,Crataegus monogyna Jacq. [sub],+,.,.,.,.,,,,,,,Serratula baetica Boiss. ex DC. subsp. lusitanica Cantó [sub],.,.,+,.,.,.,.,+,+,.,.,,,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. & Trab. [sub],.,.,.,.,.
,Calluna vulgaris (L.) Hull,+,.,.,.,.,,,,,,,Agrostis castellana Boiss. & Reut.,.,.,.,.,.,.,1,.,.,1,.,,,Ceratonia siliqua L.,.,.,.,.,.
,Phlomis lychnitis L.,.,+,.,.,.,,,,,,,Ranunculus paludosus Poir. [sub],.,+,.,.,.,1,.,.,.,.,.,,,Euphorbia characias L.,+,1,.,.,.
,Thapsia villosa L.,.,+,.,.,.,,,,,,,Serratula baetica Boiss. ex DC. subsp. lusitanica Cantó,.,.,1,.,.,+,.,.,.,.,.,,,Quercus rotundifolia Lam.,1,+,1,+,1
,Ruscus aculeatus L.,.,+,.,.,.,,,,,,,Sideritis hirsuta var. hirtula,.,.,+,+,.,.,.,.,.,.,.,,,Viburnum tinus L.,.,.,.,.,.
,Ruta chalepensis L.,.,.,+,.,.,,,,,,,Helictochloa marginata (Lowe) Romero Zarco [sub],.,.,+,+,.,.,.,.,.,.,.,,,Scilla monophyllos Link,+,.,.,+,+
,Campanula rapunculus L.,.,.,+,.,.,,,,,,,Koeleria vallesiana (Honck.) Gaudin,.,.,+,+,.,.,.,.,.,.,.,,,Quercus suber L.,.,.,.,.,.
,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus,.,.,.,+,.,,,,,,,Ajuga iva (L.) Schreb.,.,.,+,.,+,.,.,.,.,.,.,,,Hyacinthoides hispanica (Mill.) Rothm.,.,.,.,.,.
,Scorzonera angustifolia L. [sub],.,.,.,+,.,,,,,,,Stachys germanica L. [sub],.,.,+,.,.,.,.,.,.,.,+,,,Paeonia broteri Boiss. & Reut. [sub],.,.,.,.,.
,Cuscuta epithymum (L.) L. subsp. kotschyi (Desmoulins) Arcangeli,.,.,.,+,.,,,,,,,Sedum forsterianum Sm. in Sowerby [sub],+,.,.,.,.,.,.,.,.,.,.,,,Ruscus aculeatus L.,.,.,.,.,.
,Agrimonia eupatoria L. subsp. eupatoria,.,.,.,.,+,,,,,,,Ranunculus bulatus,+,.,.,.,.,.,.,.,.,.,.,,,Phillyrea latifolia L.,.,.,.,.,.
,Euphorbia nicaeensis All. subsp. nicaeensis [sub],.,.,.,.,+,,,,,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],+,.,.,.,.,.,.,.,.,.,.,,,Rosa sempervirens L.,.,.,.,.,.
,Genista tournefortii Spach,.,.,.,.,+,,,,,,,Ophrys tentredinifera,+,.,.,.,.,.,.,.,.,.,.,,,Carex distachya Desf.,.,.,.,.,.
,Tulipa sylvestris L. subsp. australis (Link) Pamp.,.,.,.,.,+,,,,,,,Geranium purpureum Vill.,+,.,.,.,.,.,.,.,.,.,.,,,Lavandula pedunculata Cav. [sub],.,.,.,.,.
,Serratula baetica Boiss. ex DC. subsp. lusitanica Cantó,.,.,.,.,+,,,,,,,Origanum virens Hoffmanns. & Link,+,.,.,.,.,.,.,.,.,.,.,,,Cistus ladanifer L. [sub],.,.,.,.,.
,,,,,,,,,,,,,Aristolochia paucinervis Pomel,+,.,.,.,.,.,.,.,.,.,.,,,Genista hirsuta Vahl,.,.,.,.,.
,,,,,,,,,,,,,Cynara humilis L.,.,+,.,.,.,.,.,.,.,.,.,,,Genista polyanthos R. Roem. ex Willk.,.,.,.,.,.
,,,,,,,,,,,,,Lathyrus sylvestris L.,.,+,.,.,.,.,.,.,.,.,.,,,Crataegus monogyna Jacq. [sub],.,.,.,.,.
,,,,,,,,,,,,,Serratula acanthocoma,.,.,1,.,.,.,.,.,.,.,.,,,Cistus albidus L.,1,+,1,.,.
,,,,,,,,,,,,,Sanguisorba rupicola (Boiss. & Reut.) A. Braun & C. D. Bouché [sub],.,.,+,.,.,.,.,.,.,.,.,,,Teucrium lusitanicum Schreb.,.,.,.,.,.
,,,,,,,,,,,,,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés. [sub],.,.,+,.,.,.,.,.,.,.,.,,,Euphorbia nicaeensis All. [sub],.,.,.,.,.
,,,,,,,,,,,,,Pulicaria odora (L.) Rchb.,.,.,+,.,.,.,.,.,.,.,.,,,Ulex airensis Espírito Santo & al.,.,+,2,1,.
,,,,,,,,,,,,,Calluna vulgaris (L.) Hull,.,.,+,.,.,.,.,.,.,.,.,,,Teucrium capitatum L.,1,1,+,1,.
,,,,,,,,,,,,,Iberis procumbens Lange subsp. microcarpa Franco & P. Silva [sub],.,.,.,+,.,.,.,.,.,.,.,,,Thymus zygis Loefl. ex L. subsp. sylvestris (Hoffmanns. & Link) Cout. [sub],+,1,1,1,1
,,,,,,,,,,,,,Phlomis lychnitis L.,.,.,.,+,.,.,.,.,.,.,.,,,Salvia sclareoides Brot.,.,.,.,.,.
,,,,,,,,,,,,,Cistus X_pulverulentus,.,.,.,.,.,1,.,.,.,.,.,,,Genista tounefortii,.,.,.,.,.
,,,,,,,,,,,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,.,.,.,.,.,.,+,.,.,.,,,Serratula baetica Boiss. ex DC. subsp. lusitanica Cantó [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheirolophus sempervirens (L.) Pomel,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Silene longicilia (Brot.) Otth,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Antirrhinum majus L. subsp. linkianum (Boiss. & Reut.) Rothm. [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulex jussiaei Webb,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Jurinea humilis (Desf.) DC. [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Erica scoparia L.,.,.,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,Halimium lasianthum (Lam.) Spach,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Thymus villosus L.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Nepa boivinii (Webb) Webb [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulex argenteus Welw. ex Webb,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Drosophyllum lusitanicum (L.) Link,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Serratula algarbiensis,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al. [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Halimium calycinum (L.) K. Koch,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Halimium halimifolium (L.) Willk. in Willk. & Lange,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Thymus capitellatus Hoffmanns. & Link,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Euphorbia boetica Boiss. [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Helichrysum italicum (Roth) G. Don in Loudon subsp. serotinum (Boiss.) P. Fourn. [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Urginea fugax (Moris) Steinh. [sub],+,+,1,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Cistus salviifolius L. [sub],.,+,+,+,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,Cistus monspeliensis L.,1,.,2,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosmarinus officinalis L.,.,1,+,1,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,Thapsia villosa L.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamus communis L.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Elaeoselinum phoetidum,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés. [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Calluna vulgaris (L.) Hull,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferula communis L.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Cistus crispus L.,.,.,1,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Phagnalon saxatile (L.) Cass.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Geranium purpureum Vill.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Saxifraga granulata L.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Origanum virens Hoffmanns. & Link,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Retama sphaerocarpa (L.) Boiss.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,+,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Carex halleriana Asso [sub],+,+,1,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,Erica major,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Erica australis L.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Smyrnium olusatrum L.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Aristolochia paucinervis Pomel,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Bryonia dioica Jacq.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Asphodelus ramosus L.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,m,Cladonia mediterranica,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedum forsterianum Sm. in Sowerby [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuberaria guttata (L.) Fourr.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Agrostis curtisii Kerguélen,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedum sediforme (Jacq.) Pau,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Rumex scutatus L. subsp. induratus (Boiss. & Reut.) Nyman [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubus ulmifolius Schott,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulicaria odora (L.) Rchb.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Phlomis lychnitis L.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuberaria lignosa (Sweet) Samp.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Erophaca baetica (L.) Boiss.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Cytinus hypocistis (L.) L. subsp. macranthus Wettst. [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruta chalepensis L.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,¿ Hyacinthoides non-scripta (L.) Chouard ex Rothm. [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Silene latifolia Poir.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Armeria pungens (Link) Hoffmanns. & Link,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Asphodelus aestivus Brot.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,m,Cladonia potentosa,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Stauracanthus genistoides (Brot.) Samp.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Bellis sylvestris Cirillo,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Mercurialis annua L. subsp. ambigua (L. fil.) Arcang. [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Centranthus calcitrapae (L.) Dufr.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Lathyrus clymenum L.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Ammophilla australis,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Convolvulus althaeoides L.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Dipcadi serotinum (L.) Medik.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Margotia gummifera (Desf.) Lange in Willk. & Lange [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhagadiolus edulis Gaertn.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Helichrysum italicum (Roth) G. Don in Loudon subsp. serotinum (Boiss.) P. Fourn. [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyparrhenia hirta (L.) Stapf in Prain subsp. pubescens (Vis.) Paunero [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthyllis vulneraria L. subsp. maura (G. Beck) Maire [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Iberis ciliata All. subsp. welwitschii (Boiss.) Moreno [sub],.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,m,Pycnocomom rutifolium,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Fraxinus angustifolia Vahl,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,Asplenium billotii F.W. Schultz,.,.,.,.,.
