,,1,2,3,4,5,6,7,8,9,10,,,,1,2,3,4,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,,,,1,2,3,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al. [sub],.,.,.,.,.,.,2,2,.,.,,,Rosa sempervirens L.,.,.,.,(+),,,Origanum virens Hoffmanns. & Link,+,+,.,.,.,.,,,Colutea hispanica Talavera & Arista [sub],.,.,.,.,.,.,2,,,,,,,,,Cistus salviifolius L.,.,.,+,.,+,1,+,+,+,+,+,2,3,.
,Cistus ladanifer L. [sub],.,.,.,.,.,.,2,2,.,.,,,Tamus communis L.,+,1,+,1,,,Arisarum simorrhinum Durieu [sub],.,.,.,+,.,.,,,Orchis lactea Poir.,2,.,.,.,.,.,.,,,,,,,,,Cistus albidus L.,.,.,+,.,2,2,1,.,+,+,2,+,2,2
,Genista triacanthos Brot.,.,2,.,.,.,.,.,.,.,.,,,Retama sphaerocarpa (L.) Boiss.,.,1,.,2,,,Thymus mastichina L.,.,.,.,+,.,.,,,Orchis mascula (L.) L.,2,.,.,.,.,.,.,,,,,,,,,Phlomis purpurea L.,.,.,+,1,.,.,1,+,+,+,1,+,3,2
,Teucrium scorodonia L.,.,1,.,.,.,.,.,.,.,.,,,Urginea fugax (Moris) Steinh. [sub],.,+,+,+,,,Cistus albidus L.,.,.,.,+,.,.,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],.,1,.,.,.,.,.,,,,,,,,,Rosmarinus officinalis L.,.,.,.,.,.,+,+,.,+,1,2,.,+,3
,Thapsia villosa L.,.,1,.,.,.,.,.,.,.,.,,,Pulicaria odora (L.) Rchb.,.,+,.,1,,,Hyparrhenia hirta (L.) Stapf in Prain,.,.,.,+,.,.,,,Melica minuta L.,.,.,2,.,.,.,.,,,,,,,,,Quercus faginea Lam.,.,.,.,.,.,3,.,2,.,+,1,1,.,.
,Erophaca baetica (L.) Boiss.,.,.,.,.,2,.,.,.,.,.,,,Bryonia dioica Jacq.,.,.,1,+,,,Rumex scutatus L. subsp. induratus (Boiss. & Reut.) Nyman [sub],+,.,.,.,.,.,,,Ballota hirsuta Benth.,.,.,2,.,.,.,.,,,,,,,,,Genista hirsuta Vahl,.,.,.,2,+,.,.,.,.,.,+,+,.,.
,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés. [sub],.,.,.,.,2,.,.,.,.,.,,,Aristolochia paucinervis Pomel,1,+,.,.,,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,1,.,.,.,,,Thymus mastichina L.,.,.,.,2,.,.,.,,,,,,,,,Rubus ulmifolius Schott,.,+,.,.,+,.,.,.,.,.,.,+,+,.
,Dorycnopsis gerardi (L.) Boiss.,.,.,.,.,.,.,.,2,.,.,,,Cistus salviifolius L. [sub],(+),.,.,1,,,Helichrysum stoechas (L.) Moench,1,.,.,.,+,.,,,Thymus zygis Loefl. ex L.,.,.,.,2,.,.,.,,,,,,,,,Cytisus striatus (Hill) Rothm.,.,.,.,.,+,2,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,,Lavandula pedunculata Cav. [sub],2,.,.,.,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],.,.,.,.,+,.,,,Halimium umbellatum (L.) Spach subsp. viscosum (Willk.) O. Bolòs & Vigo [sub],.,.,.,2,.,.,.,,,,,,,,,Cistus monspeliensis L.,.,1,+,.,.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,,Thapsia villosa L.,.,1,.,+,,,Erica scoparia L.,.,.,.,.,1,.,,,Ruta montana (L.) L.,.,.,.,2,.,.,.,,,,,,,,,Cistus ladanifer L. [sub],.,1,.,.,.,.,.,.,.,.,.,.,.,1
,,,,,,,,,,,,,,Cytisus striatus (Hill) Rothm.,.,+,.,+,,,Ballota hirsuta Benth.,+,.,.,.,.,.,,,Marrubium vulgare L.,.,.,.,.,2,.,.,,,,,,,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira,.,.,+,.,.,.,.,.,.,.,1,.,.,.
,,,,,,,,,,,,,,Ferula communis L.,.,.,+,.,,,Cistus salviifolius L. [sub],.,.,.,.,.,+,,,Rosa corymbifera Borkh.,.,.,.,.,.,2,.,,,,,,,,,Lavandula stoechas L. subsp. stoechas,.,.,.,1,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,Asplenium ceterach L. [sub],.,.,+,.,,,Erophaca baetica (L.) Boiss. [sub],.,.,.,.,.,+,,,Conopodium marianum Lange [sub],.,.,.,.,.,2,.,,,,,,,,,Erica arborea L.,.,.,1,3,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,Aegilops geniculata Roth,.,.,+,.,,,,,,,,,,,,Ferula communis L.,.,.,.,.,.,2,.,,,,,,,,,Phillyrea latifolia L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],.,.,+,.,,,,,,,,,,,,Helichrysum stoechas (L.) Moench,.,.,.,.,.,2,.,,,,,,,,,Cistus crispus L.,.,.,.,.,.,.,.,.,.,.,.,2,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erica arborea L.,.,.,.,.,.,.,2,,,,,,,,,Cistus populifolius L.,.,.,.,1,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hedera helix L.,.,.,.,.,.,.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lonicera periclymenum L.,.,.,.,.,.,.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,+,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quercus pyrenaica Willd.,.,.,.,.,.,.,.,+,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retama sphaerocarpa (L.) Boiss.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thymus mastichina L.,.,.,.,.,.,.,.,.,.,.,+,.,.,.
