,,1,2,3,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11
,Geum sylvaticum Pourr.,+,.,.,,,,Rosmarinus officinalis L.,1,,,,Arisarum simorrhinum Durieu [sub],+,.,.,.,.,.,+,+,1,1,+
,Crataegus monogyna Jacq. [sub],+,.,.,,,,Urginea fugax (Moris) Steinh. [sub],1,,,,Ruscus aculeatus L.,+,.,.,.,.,.,+,+,+,1,.
,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,3,+,+,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],1,,,,Jasminum fruticans L.,.,.,.,.,1,.,+,.,1,+,.
,Cistus monspeliensis L.,1,1,1,,,,Centaurea pullata L. subsp. baetica Talavera,1,,,,Asparagus aphyllus L.,.,.,.,.,+,.,.,+,+,+,.
,Cistus salviifolius L.,1,+,+,,,,Salvia sclareoides Brot.,1,,,,Euphorbia characias L.,.,.,.,.,.,+,.,+,+,+,.
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,1,+,+,,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],1,,,,Pistacia lentiscus L.,.,.,.,.,.,.,.,2,3,2,.
,Carlina corymbosa L. subsp. hispanica (Lam.) O. Bolòs & Vigo,1,+,+,,,,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman,1,,,,Viburnum tinus L.,.,.,.,.,.,3,+,.,1,.,.
,Sanguisorba verrucosa (Link ex G. Don) Ces.,+,+,+,,,,Lathyrus sylvestris L.,1,,,,Lonicera etrusca G. Santi,.,.,.,.,.,.,.,2,1,1,.
,Salvia sclareoides Brot.,+,+,+,,,,Sedum album L.,+,,,,Bupleurum rigidum L. subsp. paniculatum (Brot.) H. Wolff in Engl. [sub],+,1,.,.,.,.,.,.,1,.,.
,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],.,1,2,,,,Bituminaria bituminosa (L.) C.H. Stirt.,+,,,,Phillyrea latifolia L.,1,.,.,.,.,.,.,.,+,+,.
,Urginea fugax (Moris) Steinh. [sub],2,+,.,,,,Rumex intermedius DC. in Lam. & DC. [sub],+,,,,Asparagus acutifolius L.,.,.,.,.,.,+,.,.,+,1,.
,Bupleurum rigidum L. subsp. paniculatum (Brot.) H. Wolff in Engl.,.,1,1,,,,Allium paniculatum L. [sub],+,,,,Quercus broteroi (Cout.) Rivas-Martínez,.,.,.,.,.,1,.,2,.,.,.
,Arbutus unedo L.,.,1,+,,,,Ophrys scolopax Cav. subsp. scolopax,+,,,,Osyris alba L.,.,.,1,.,.,.,.,.,.,2,.
,Ulex airensis Espírito Santo & al.,.,1,+,,,,Serapias parviflora Parl.,+,,,,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],.,.,.,.,.,.,.,+,.,1,.
,Thymus zygis Loefl. ex L. subsp. sylvestris (Hoffmanns. & Link) Cout.,1,+,.,,,,Daucus carota L.,+,,,,Erica arborea L.,.,.,.,.,.,+,.,.,.,1,.
,Brachypodium phoenicoides (L.) Roem. & Schult.,.,1,+,,,,Gastridium ventricosum (Gouan) Schinz & Thell.,+,,,,Pistacia terebinthus L.,.,.,.,.,.,+,.,.,.,.,.
,Origanum vulgare L. subsp. virens (Hoffmanns. & Link) Ietsw.,+,+,.,,,,Geranium rotundifolium L.,+,,,,Cephalanthera longifolia (L.) Fritsch,.,.,.,.,.,.,.,+,.,.,.
,Erica scoparia L.,.,+,+,,,,Sonchus asper (L.) Hill subsp. asper,+,,,,Avenella flexuosa (L.) Drejer [sub],.,.,.,.,.,.,.,.,+,.,.
,Helichrysum stoechas (L.) Moench subsp. stoechas,.,+,+,,,,Lathyrus sphaericus Retz.,+,,,,Cistus salviifolius L. [sub],2,.,3,1,2,2,1,.,.,1,+
,Melica minuta L. [sub],.,+,+,,,,Malva hispanica L.,+,,,,Erica scoparia L.,2,+,+,1,2,2,.,.,.,+,.
,Serratula baetica Boiss. ex DC. subsp. lusitanica Cantó,.,+,+,,,,Campanula erinus L.,+,,,,Carex halleriana Asso [sub],.,.,2,1,.,.,+,1,1,+,.
,Rubia peregrina L. [sub],.,+,+,,,,Polycarpon tetraphyllum (L.) L. subsp. diphyllum (Cav.) O. Bolòs & Font Quer,+,,,,Urginea fugax (Moris) Steinh. [sub],.,.,.,.,.,1,+,1,1,+,+
,Silene longicilia (Brot.) Otth,1,.,.,,,,Filago gaditana (Pau) Andrés-Sánchez & Galbany [sub],+,,,,Thymus zygis Loefl. ex L. subsp. sylvestris (Hoffmanns. & Link) Cout. [sub],.,+,1,1,.,2,.,.,.,.,+
,Daucus carota L. subsp. carota,1,.,.,,,,Centaurium erythraea Raf. subsp. grandiflorum (Pers.) Melderis,+,,,,Sedum album L.,.,+,.,+,.,1,+,.,.,.,+
,Bellis sylvestris Cirillo,1,.,.,,,,Medicago minima (L.) L.,+,,,,Rosmarinus officinalis L.,2,.,2,+,1,.,.,.,.,+,.
,Ornithogalum orthophyllum Ten. subsp. baeticum (Boiss.) Zahar. [sub],+,.,.,,,,Vicia parviflora Cav. [sub],+,,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl,.,.,1,1,.,.,1,.,.,.,1
,Sonchus bulbosus (L.) N.Kilian & Greuter subsp. bulbosus [sub],+,.,.,,,,Vicia tenuiflora,+,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],.,2,.,+,.,.,.,.,.,+,1
,Gynandriris sisyrinchium (L.) Parl.,+,.,.,,,,Linum tenue Desf. [sub],+,,,,Aristolochia paucinervis Pomel,.,.,.,.,.,.,.,2,1,+,.
,Euphorbia portlandica L.,+,.,.,,,,Plantago bellardii All. [sub],+,,,,Teucrium capitatum L.,.,.,2,1,.,.,.,.,.,.,1
,Euphorbia nicaeensis All. subsp. nicaeensis [sub],.,+,.,,,,,,,,,Phlomis lychnitis L.,.,+,+,.,.,.,.,.,.,.,1
,Cynara humilis L.,.,+,.,,,,,,,,,Cistus albidus L.,.,2,.,.,.,.,.,+,+,.,.
,Aristolochia paucinervis Pomel,.,+,.,,,,,,,,,Agrimonia euptaoria,.,.,.,.,.,+,.,.,+,+,.
,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus,.,+,.,,,,,,,,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,.,.,.,.,1,+,+,+,.
,Phillyrea angustifolia L.,.,+,.,,,,,,,,,Thapsia villosa L.,.,+,.,.,.,.,.,+,.,+,.
,Erophaca baetica (L.) Boiss. subsp. baetica,.,+,.,,,,,,,,,Cistus monspeliensis L.,.,.,.,.,.,1,.,+,.,1,.
,Tuberaria lignosa (Sweet) Samp. [sub],.,+,.,,,,,,,,,Clinopodium vulgare L.,.,.,.,.,.,.,+,1,.,+,.
,Genista tournefortii Spach,.,.,+,,,,,,,,,Geum sylvaticum Pourr.,.,.,.,.,.,.,.,1,1,+,.
,,,,,,,,,,,,,Cistus crispus L.,.,.,2,.,.,.,.,.,.,1,.
,,,,,,,,,,,,,Ulex parviflorus Pourr.,.,2,.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,Helichrysum stoechas (L.) Moench,.,.,.,.,.,1,.,.,.,.,+
,,,,,,,,,,,,,Bellis perennis L.,.,.,.,.,.,.,.,.,1,+,.
,,,,,,,,,,,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],.,.,.,.,.,.,.,.,+,+,.
,,,,,,,,,,,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],.,.,.,.,.,.,.,+,.,+,.
,,,,,,,,,,,,,Sanguisorba verrucosa (Link ex G. Don) Ces. [sub],.,.,.,.,.,.,.,+,.,+,.
,,,,,,,,,,,,,Iberis procumbens Lange subsp. microcarpa Franco & P. Silva [sub],.,1,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,Asphodelus ramosus L.,.,1,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,Sideritis hirsuta var. hirtula,.,.,.,.,.,1,.,.,.,.,.
,,,,,,,,,,,,,Bituminaria bituminosa (L.) C.H. Stirt. [sub],.,.,.,.,.,1,.,.,.,.,.
,,,,,,,,,,,,,Salvia sclareoides Brot.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,Smyrnium perfoliatum L.,.,.,.,.,.,+,.,.,.,.,.
,,,,,,,,,,,,,Leontodon tuberosus L.,.,.,.,.,.,+,.,.,.,.,.
,,,,,,,,,,,,,Phagnalon saxatile (L.) Cass.,.,.,.,.,.,+,.,.,.,.,.
,,,,,,,,,,,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,.,.,.,+,.,.,.,.,.
,,,,,,,,,,,,,Sedum sediforme (Jacq.) Pau,.,.,.,.,.,+,.,.,.,.,.
,,,,,,,,,,,,,Galium parisiense L.,.,.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,Ranunculus bulbosus L.,.,.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,Sedum forsterianum Sm. in Sowerby [sub],.,.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,Lathyrus sylvaticus,.,.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,Epipactis helleborine (L.) Crantz,.,.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,Orchis anthropophora (L.) All. [sub],.,.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,Rosa canina L.,.,.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,Origanum virens Hoffmanns. & Link,.,.,.,.,.,.,.,.,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
